File Name,LineStrings
139.json,"[[[75.0, 163.0], [119.0, 163.0]], [[152.0, 223.0], [152.0, 163.0]]]"
2370.json,"[[[129.0, 214.0], [129.0, 168.0]], [[132.0, 88.0], [132.0, 39.0]]]"
61.json,"[[[120.0, 67.0], [120.0, 116.5]]]"
990.json,"[[[180.0, 142.0], [180.0, 99.0]], [[132.0, 83.0], [132.0, 126.5]]]"
3998.json,"[[[122.0, 200.0], [122.0, 129.5]]]"
3832.json,"[[[93.0, 137.0], [93.0, 217.0]], [[152.0, 217.0], [152.0, 136.0]]]"
2720.json,"[[[130.5, 183.0], [130.5, 140.0]]]"
4973.json,"[[[66.0, 77.0], [66.0, 122.0]], [[66.0, 146.0], [66.0, 191.0]], [[118.0, 191.0], [118.0, 134.0]], [[143.5, 134.0], [143.5, 89.0]]]"
4420.json,"[[[147.5, 145.0], [147.5, 101.0]]]"
617.json,"[[[130.5, 173.0], [130.5, 121.5]]]"
1622.json,"[[[104.0, 131.0], [104.0, 185.0]]]"
4070.json,"[[[125.0, 134.0], [125.0, 196.0]], [[179.0, 141.0], [179.0, 85.0]]]"
1788.json,"[[[129.0, 146.0], [129.0, 190.0]], [[182.0, 190.0], [182.0, 143.0]], [[182.0, 119.0], [182.0, 72.0]]]"
247.json,"[[[144.0, 107.5], [88.0, 107.5]], [[106.0, 144.5], [106.0, 209.0]]]"
1272.json,"[[[155.0, 101.0], [155.0, 57.00000000000001]], [[113.0, 130.5], [113.0, 192.0]]]"
1767.json,"[[[124.0, 136.5], [124.0, 202.0]], [[187.0, 202.0], [187.0, 143.0]], [[187.0, 119.0], [187.0, 61.0]]]"
2848.json,"[[[141.0, 167.0], [191.0, 167.0]], [[191.0, 167.0], [191.0, 117.0]]]"
4565.json,"[[[138.0, 45.0], [138.0, 100.0]], [[138.0, 140.0], [138.0, 183.0]]]"
752.json,"[[[110.0, 153.0], [154.0, 153.0]]]"
1337.json,"[[[143.0, 178.5], [211.0, 178.5]], [[143.0, 117.0], [143.0, 178.5]], [[211.0, 178.0], [211.0, 134.0]], [[211.0, 110.0], [211.0, 52.0]]]"
4135.json,"[[[85.0, 84.0], [85.0, 129.0]]]"
302.json,"[[[132.0, 221.0], [132.0, 137.5]], [[68.0, 90.0], [68.0, 162.0]]]"
4836.json,[]
3023.json,"[[[167.0, 223.0], [167.0, 179.0]], [[167.0, 155.0], [167.0, 111.0]], [[111.0, 141.5], [111.0, 223.0]]]"
3473.json,"[[[130.0, 121.0], [130.0, 177.0]]]"
181.json,"[[[90.0, 68.0], [90.0, 124.0]]]"
3189.json,"[[[121.0, 96.0], [71.0, 96.0]], [[53.0, 122.0], [104.0, 122.0]], [[104.0, 140.0], [104.0, 191.0]], [[161.0, 191.0], [161.0, 140.0]], [[161.0, 128.0], [161.0, 83.0]]]"
3920.json,[]
2632.json,"[[[171.0, 157.0], [171.0, 106.0]], [[113.5, 64.0], [113.5, 111.0]], [[120.0, 156.0], [120.0, 201.0]]]"
928.json,"[[[173.0, 130.0], [173.0, 86.0]]]"
2262.json,"[[[147.0, 116.0], [147.0, 34.0]]]"
882.json,"[[[151.0, 120.0], [151.0, 163.0]]]"
2798.json,"[[[122.0, 123.5], [122.0, 197.0]]]"
1858.json,"[[[184.0, 96.0], [137.0, 96.0]], [[95.0, 114.0], [95.0, 176.0]], [[155.0, 176.0], [155.0, 121.0]]]"
3865.json,[]
2777.json,"[[[131.0, 115.0], [131.0, 204.0]]]"
2327.json,"[[[108.0, 189.0], [108.0, 123.0]]]"
36.json,"[[[139.0, 145.0], [189.0, 145.0]], [[189.0, 117.0], [143.0, 117.0]], [[125.5, 117.0], [125.5, 73.0]]]"
4359.json,[]
